Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Skarner JUNGLE	 Rumble TOP	21	57.1	-199.2	-3.2
 Vi JUNGLE	 Nautilus SUPPORT	14	57.1	-303.6	3.6
 Akali MID	 Sion TOP	14	57.1	-43.1	-14.6
 Ezreal ADC	 Akali MID	14	57.1	134	1.6
 Neeko SUPPORT	 Renekton TOP	14	57.1	490.8	0.6
 Akali MID	 Gnar TOP	14	57.1	-151.1	-7.1
 Vi JUNGLE	 Bard SUPPORT	14	57.1	-9.8	3
 Caitlyn ADC	 Akali MID	14	57.1	863.9	7.6
 Xin Zhao JUNGLE	 Seraphine SUPPORT	62	56.5	-118.6	-0.8
 Yone MID	 Rumble TOP	23	56.5	118.4	-2.8
 Corki ADC	 Gnar TOP	23	56.5	-92.3	-5.4
 Xin Zhao JUNGLE	 Aurora MID	32	56.3	-164.3	-1
 Orianna MID	 Bard SUPPORT	16	56.3	166.7	5
 Corki ADC	 Sion TOP	16	56.3	-642.3	-20.1
 Annie MID	 Ambessa TOP	16	56.3	179	7.4
 Ahri MID	 Seraphine SUPPORT	16	56.3	42.4	1.3
 Xin Zhao JUNGLE	 Ahri MID	16	56.3	113.9	4.2
 Ezreal ADC	 Bard SUPPORT	50	56.0	50.6	-3.8
 Ezreal ADC	 Azir MID	25	56.0	-70.1	8.3
 Jarvan IV JUNGLE	 Gnar TOP	27	55.6	264.7	-2.3
 Ezreal ADC	 Wukong JUNGLE	18	55.6	-133.1	3.7
 Corki ADC	 Annie MID	18	55.6	-184.9	-3.7
 Lucian ADC	 Rumble TOP	18	55.6	180.8	-1
 Seraphine SUPPORT	 Gnar TOP	29	55.2	405.8	4.6
 Yunara ADC	 KSante TOP	20	55.0	-26.7	-7.4
 Orianna MID	 Sion TOP	20	55.0	154.2	6.3
 Ryze MID	 Sion TOP	20	55.0	-353	-8.4
 Naafiri JUNGLE	 Sion TOP	20	55.0	337.8	6.9
 Annie MID	 Milio SUPPORT	20	55.0	-455.4	-4.8
 Nocturne JUNGLE	 Neeko SUPPORT	31	54.8	278.1	6
 Vi JUNGLE	 Sion TOP	22	54.5	-266.3	-0.9
 Sivir ADC	 KSante TOP	11	54.5	201.2	20.8
 Nautilus SUPPORT	 KSante TOP	11	54.5	-255.5	0.2
 Jarvan IV JUNGLE	 Orianna MID	11	54.5	465.9	8.4
